SeriesInstanceUID,StudyInstanceUID,Modality,SeriesDescription,BodyPartExamined,SeriesNumber,Collection,Visibility,ImageCount
1.3.6.1.4.1.9590.100.1.2.392091931911637760938815694332198115839,1.3.6.1.4.1.9590.100.1.2.348094436212980762312744999743818171955,MG,full mammogram images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.98869608012141056833257796120597025392,1.3.6.1.4.1.9590.100.1.2.286810130612398552226692834730262679493,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.278120339712544174710677784370473996861,1.3.6.1.4.1.9590.100.1.2.315661347813765800232376091163411100803,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.196479284412458694937158936674285398162,1.3.6.1.4.1.9590.100.1.2.262233088512884423113110765183550286501,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.261563112911930807513350544711445999750,1.3.6.1.4.1.9590.100.1.2.396285083712312596913224349493587733491,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.247686453312806717421635544732731976519,1.3.6.1.4.1.9590.100.1.2.37690225511115345742827693074285385581,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.221015855811785436606034462030204176638,1.3.6.1.4.1.9590.100.1.2.277533794613906143916915690793886929663,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.175242977012447302238948750210788626559,1.3.6.1.4.1.9590.100.1.2.90737959611925139036491746611250843188,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.369356006312401376004981554280188639464,1.3.6.1.4.1.9590.100.1.2.422628121211446608919701385343588699413,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.412727621912975826620876952461161907663,1.3.6.1.4.1.9590.100.1.2.116866671012728171231565165321472264984,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.44924265911262530126862166120456636591,1.3.6.1.4.1.9590.100.1.2.84233029513023828627018709990109969832,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.104547588711613761739645710270165941887,1.3.6.1.4.1.9590.100.1.2.119941303311134138005826231513624214192,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.194187596711951006515636391714016387017,1.3.6.1.4.1.9590.100.1.2.124809438511150251037525598051865639499,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.359848710110099373118786740480810927828,1.3.6.1.4.1.9590.100.1.2.144816088412714561724717190502424517014,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.141154201412221721627679448533949825005,1.3.6.1.4.1.9590.100.1.2.199497439513342908311641909072292485364,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.403633164010686270823788499760160451170,1.3.6.1.4.1.9590.100.1.2.22517699413531096020120595671769244089,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.88182922711280236336981188251083316740,1.3.6.1.4.1.9590.100.1.2.168700516113145979233215569092392749701,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.128459476813826931240501871751707806966,1.3.6.1.4.1.9590.100.1.2.21654207313945690526744882082503819903,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.332220304112291686205901600122715192543,1.3.6.1.4.1.9590.100.1.2.45316794110898902818410185411474148208,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.30428481712471095922646734601756667255,1.3.6.1.4.1.9590.100.1.2.224261470010870664235295128572786266149,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.386664917710374733938834638332966540392,1.3.6.1.4.1.9590.100.1.2.65022405311340130701370241671767624534,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.242096569811858384728613382742918690380,1.3.6.1.4.1.9590.100.1.2.136009430111865575205485626093914968188,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.160145220013502456900436816743087197939,1.3.6.1.4.1.9590.100.1.2.348938199212000879116970768961612089917,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.116535179711521411309755703052139552973,1.3.6.1.4.1.9590.100.1.2.116556227612122590635673361180551194495,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.217714721512309207834238012412393001991,1.3.6.1.4.1.9590.100.1.2.381762743612956335517707795440652726945,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.115592916112250856538357735850294054639,1.3.6.1.4.1.9590.100.1.2.306638341111769718906142383514013952641,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.5443013411725375126198864850093120508,1.3.6.1.4.1.9590.100.1.2.354649079213100032925859580713311621965,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.338323886311721128414985788600586750993,1.3.6.1.4.1.9590.100.1.2.54137788711531293928289916660006987556,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.21093423913849397808180658053188745318,1.3.6.1.4.1.9590.100.1.2.79962990711541433112269562201277341795,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.82600937212058721501125633822189963843,1.3.6.1.4.1.9590.100.1.2.311360982212458397611111945502213016989,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.318188438613347851013170786712860862914,1.3.6.1.4.1.9590.100.1.2.182890864612248919204435911033172816066,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.403358717113527849111437349360275414259,1.3.6.1.4.1.9590.100.1.2.308301360713363382737339163453269729125,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.368434953512686740334071092910393175106,1.3.6.1.4.1.9590.100.1.2.119978023812999865812870035344265467654,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.281160244512696906237812213023711879059,1.3.6.1.4.1.9590.100.1.2.300009693712236176001020148893618660782,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.186327494411516593004575993602150635295,1.3.6.1.4.1.9590.100.1.2.91047898712079403406090789430815071993,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.146913909913541364323336672252941023907,1.3.6.1.4.1.9590.100.1.2.172451998512737003139485147102236282104,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.19795493312901990317413771553458283178,1.3.6.1.4.1.9590.100.1.2.340174648413987175203922453913231438038,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.59807174411461248123448447121065500011,1.3.6.1.4.1.9590.100.1.2.163658274310601752013100381731081959305,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.221881355710420632707555554661923280129,1.3.6.1.4.1.9590.100.1.2.275701608011673130103646508911645452949,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.314636098012486843933844430364271144365,1.3.6.1.4.1.9590.100.1.2.284918572511098242942895292202096390295,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.136561796911105586136769721920453709589,1.3.6.1.4.1.9590.100.1.2.3276730011862062422579112182898028605,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.399227192711656972900812975412258786876,1.3.6.1.4.1.9590.100.1.2.52452968412945018319732284511124152667,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.58165654512334946416852640461650981142,1.3.6.1.4.1.9590.100.1.2.64084431212007826308183648013656061640,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.41204990912158912602497970011807286090,1.3.6.1.4.1.9590.100.1.2.247286624913176430114573700112493601219,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.340902307911649457115110271134222437704,1.3.6.1.4.1.9590.100.1.2.256264711012525914620104262681168149800,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.182941720511336330741717526001222687904,1.3.6.1.4.1.9590.100.1.2.362393320912299548537148072220191244489,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.304519081612179284710421328990723994917,1.3.6.1.4.1.9590.100.1.2.406156676411322052217743878703533381476,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.419101916011003267204546254263412360938,1.3.6.1.4.1.9590.100.1.2.13905659211184246217272052733000004205,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.398179546912513799737958373503308688357,1.3.6.1.4.1.9590.100.1.2.404218339511334985422306940642121233163,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.336199022112072274926049714143760275803,1.3.6.1.4.1.9590.100.1.2.235745196013189249934669848451525251519,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.403913185412613681641586569372233606222,1.3.6.1.4.1.9590.100.1.2.346578363912171362838773162771723631932,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.171587075813471684712393844713002268000,1.3.6.1.4.1.9590.100.1.2.226623642412879939712237879122798311478,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.218548371113017715627621595111310183932,1.3.6.1.4.1.9590.100.1.2.171454278910755430323331459993015301785,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.219155182110475447623755959603632750640,1.3.6.1.4.1.9590.100.1.2.195558045812198754830025371053322069589,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.267662455710379580017112843973677805856,1.3.6.1.4.1.9590.100.1.2.134476333511926255628927533374291313613,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.308306388611801688834091539392375023174,1.3.6.1.4.1.9590.100.1.2.119920718112355815819677019073604544771,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.211783388611872654112625125193073173905,1.3.6.1.4.1.9590.100.1.2.73161064911920624709208134453251713408,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.143564924410466837221653431673422902304,1.3.6.1.4.1.9590.100.1.2.193823733511868091828762336091732354721,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.111103222711753206429861154770794873366,1.3.6.1.4.1.9590.100.1.2.335958126311754013904293052251120178425,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.223656883912045807831677249332617654361,1.3.6.1.4.1.9590.100.1.2.36730540312932858819129895943742908209,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.11167745611628341526124665741235050969,1.3.6.1.4.1.9590.100.1.2.184144087510592049431565932972954462466,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.136356543710283494330369458242898573528,1.3.6.1.4.1.9590.100.1.2.369125256011399149817720341772977229637,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.90695764111723703412620865451665909775,1.3.6.1.4.1.9590.100.1.2.194588978211597869403993424853332091767,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.248115994912525429104448387842986945186,1.3.6.1.4.1.9590.100.1.2.415046113612412949920184101293386591991,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.132822860511992519317776009000394221499,1.3.6.1.4.1.9590.100.1.2.62074639912020462738949874370906016240,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.388945630510803488442407018273251518177,1.3.6.1.4.1.9590.100.1.2.147891377712683138606877032111345693756,MG,full mammogram images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.11271834911566354427604314924202004815,1.3.6.1.4.1.9590.100.1.2.370455401812107495431753847324248696985,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.163622216911542642224739508823436384335,1.3.6.1.4.1.9590.100.1.2.152427806810678533211019652150745503878,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.380288181210425070324186538241291164764,1.3.6.1.4.1.9590.100.1.2.67374038311327302123437234311522463254,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
